ts_iso,dir,can_id,dlc,data_hex
2025-08-10T16:00:02.834,RX,0x064,6,01 77 71 80 07 F3,1,30577,128,7,243,,,,smc6
2025-08-10T16:00:02.934,RX,0x064,6,01 77 71 80 07 E0,1,30577,128,7,224,,,,smc6
2025-08-10T16:00:03.037,RX,0x064,6,01 77 71 80 07 F1,1,30577,128,7,241,,,,smc6
2025-08-10T16:00:03.136,RX,0x064,6,01 77 71 80 07 F6,1,30577,128,7,246,,,,smc6
2025-08-10T16:00:03.237,RX,0x064,6,01 77 71 80 08 39,1,30577,128,8,57,,,,smc6
2025-08-10T16:00:03.339,RX,0x064,6,01 77 71 80 07 D9,1,30577,128,7,217,,,,smc6
2025-08-10T16:00:03.439,RX,0x064,6,01 77 71 80 08 2B,1,30577,128,8,43,,,,smc6
2025-08-10T16:00:03.541,RX,0x064,6,01 77 71 80 07 D6,1,30577,128,7,214,,,,smc6
2025-08-10T16:00:03.642,RX,0x064,6,01 77 71 80 08 2C,1,30577,128,8,44,,,,smc6
2025-08-10T16:00:03.742,RX,0x064,6,01 77 71 80 08 35,1,30577,128,8,53,,,,smc6
2025-08-10T16:00:03.843,RX,0x064,6,01 77 71 80 07 FB,1,30577,128,7,251,,,,smc6
2025-08-10T16:00:03.945,RX,0x064,6,01 77 71 80 07 D9,1,30577,128,7,217,,,,smc6
2025-08-10T16:00:04.054,RX,0x064,6,01 77 71 80 08 27,1,30577,128,8,39,,,,smc6
2025-08-10T16:00:04.152,RX,0x064,6,01 77 71 80 08 04,1,30577,128,8,4,,,,smc6
2025-08-10T16:00:04.254,RX,0x064,6,01 77 71 80 07 E3,1,30577,128,7,227,,,,smc6
2025-08-10T16:00:04.354,RX,0x064,6,01 77 71 80 08 22,1,30577,128,8,34,,,,smc6
2025-08-10T16:00:04.454,RX,0x064,6,01 77 71 80 07 E7,1,30577,128,7,231,,,,smc6
2025-08-10T16:00:04.556,RX,0x064,6,01 77 71 80 08 0A,1,30577,128,8,10,,,,smc6
2025-08-10T16:00:04.658,RX,0x064,6,01 77 71 80 07 F4,1,30577,128,7,244,,,,smc6
2025-08-10T16:00:04.765,RX,0x064,6,01 77 71 80 08 13,1,30577,128,8,19,,,,smc6
2025-08-10T16:00:04.864,RX,0x064,6,01 77 71 80 08 22,1,30577,128,8,34,,,,smc6
2025-08-10T16:00:04.963,RX,0x064,6,01 77 71 80 07 F8,1,30577,128,7,248,,,,smc6
2025-08-10T16:00:05.064,RX,0x064,6,01 77 71 80 08 37,1,30577,128,8,55,,,,smc6
2025-08-10T16:00:05.164,RX,0x064,6,01 77 71 80 07 B5,1,30577,128,7,181,,,,smc6
2025-08-10T16:00:05.266,RX,0x064,6,01 77 71 80 08 34,1,30577,128,8,52,,,,smc6
2025-08-10T16:00:05.369,RX,0x064,6,01 77 71 80 07 EB,1,30577,128,7,235,,,,smc6
2025-08-10T16:00:05.471,RX,0x064,6,01 77 71 80 08 47,1,30577,128,8,71,,,,smc6
2025-08-10T16:00:05.582,RX,0x064,6,01 77 71 80 07 D4,1,30577,128,7,212,,,,smc6
2025-08-10T16:00:05.685,RX,0x064,6,01 77 71 80 07 F8,1,30577,128,7,248,,,,smc6
2025-08-10T16:00:05.786,RX,0x064,6,01 77 71 80 07 D2,1,30577,128,7,210,,,,smc6
2025-08-10T16:00:05.886,RX,0x064,6,01 77 71 80 07 F7,1,30577,128,7,247,,,,smc6
2025-08-10T16:00:05.988,RX,0x064,6,01 77 71 80 07 DF,1,30577,128,7,223,,,,smc6
2025-08-10T16:00:06.090,RX,0x064,6,01 77 71 80 08 42,1,30577,128,8,66,,,,smc6
2025-08-10T16:00:06.192,RX,0x064,6,01 77 71 80 07 DE,1,30577,128,7,222,,,,smc6
2025-08-10T16:00:06.294,RX,0x064,6,01 77 71 80 08 29,1,30577,128,8,41,,,,smc6
2025-08-10T16:00:06.404,RX,0x064,6,01 77 71 80 08 2D,1,30577,128,8,45,,,,smc6
2025-08-10T16:00:06.504,RX,0x064,6,01 77 71 80 07 BC,1,30577,128,7,188,,,,smc6
2025-08-10T16:00:06.606,RX,0x064,6,01 77 71 80 08 2B,1,30577,128,8,43,,,,smc6
2025-08-10T16:00:06.707,RX,0x064,6,01 77 71 80 08 26,1,30577,128,8,38,,,,smc6
2025-08-10T16:00:06.813,RX,0x064,6,01 77 71 80 07 FC,1,30577,128,7,252,,,,smc6
2025-08-10T16:00:06.916,RX,0x064,6,01 77 71 80 07 C8,1,30577,128,7,200,,,,smc6
2025-08-10T16:00:07.020,RX,0x064,6,01 77 71 80 08 12,1,30577,128,8,18,,,,smc6
2025-08-10T16:00:07.122,RX,0x064,6,01 77 71 80 07 E8,1,30577,128,7,232,,,,smc6
2025-08-10T16:00:07.222,RX,0x064,6,01 77 71 80 08 0F,1,30577,128,8,15,,,,smc6
2025-08-10T16:00:07.323,RX,0x064,6,01 77 71 80 07 CF,1,30577,128,7,207,,,,smc6
2025-08-10T16:00:07.427,RX,0x064,6,01 77 71 80 08 3C,1,30577,128,8,60,,,,smc6
2025-08-10T16:00:07.530,RX,0x064,6,01 77 71 80 07 DD,1,30577,128,7,221,,,,smc6
2025-08-10T16:00:07.633,RX,0x064,6,01 77 71 80 07 DF,1,30577,128,7,223,,,,smc6
2025-08-10T16:00:07.739,RX,0x064,6,01 77 71 80 07 D6,1,30577,128,7,214,,,,smc6
2025-08-10T16:00:07.836,RX,0x064,6,01 77 71 80 08 13,1,30577,128,8,19,,,,smc6
2025-08-10T16:00:07.941,RX,0x064,6,01 77 71 80 08 37,1,30577,128,8,55,,,,smc6
2025-08-10T16:00:08.042,RX,0x064,6,01 77 71 80 08 2B,1,30577,128,8,43,,,,smc6
2025-08-10T16:00:08.143,RX,0x064,6,01 77 71 80 08 0F,1,30577,128,8,15,,,,smc6
2025-08-10T16:00:08.243,RX,0x064,6,01 77 71 80 07 A9,1,30577,128,7,169,,,,smc6
2025-08-10T16:00:08.348,RX,0x064,6,01 77 71 80 08 3D,1,30577,128,8,61,,,,smc6
2025-08-10T16:00:08.449,RX,0x064,6,01 77 71 80 08 11,1,30577,128,8,17,,,,smc6
2025-08-10T16:00:08.551,RX,0x064,6,01 77 71 80 08 08,1,30577,128,8,8,,,,smc6
2025-08-10T16:00:08.652,RX,0x064,6,01 77 71 80 07 ED,1,30577,128,7,237,,,,smc6
2025-08-10T16:00:08.752,RX,0x064,6,01 77 71 80 07 F7,1,30577,128,7,247,,,,smc6
2025-08-10T16:00:08.854,RX,0x064,6,01 77 71 80 07 CC,1,30577,128,7,204,,,,smc6
2025-08-10T16:00:08.958,RX,0x064,6,01 77 71 80 08 2F,1,30577,128,8,47,,,,smc6
