ts_ms,raw_hex,driver_id,pos_rad,vel_rad_s,tau_Nm,pos_raw_i16,vel_raw_s12,tau_raw_s12
1754831880161,01 7F 5F 80 08 3B,1,12.438963,-65.031754,-17.489985,32607,-2048,-1989
1754831880174,01 7F 5F 80 08 3B,1,12.438963,-65.031754,-17.489985,32607,-2048,-1989
1754831880186,01 7F 5F 80 08 3B,1,12.438963,-65.031754,-17.489985,32607,-2048,-1989
1754831880200,01 7F 5F 80 08 3B,1,12.438963,-65.031754,-17.489985,32607,-2048,-1989
1754831880212,01 7F 5F 80 08 3B,1,12.438963,-65.031754,-17.489985,32607,-2048,-1989
1754831880227,01 7F 5F 80 08 23,1,12.438963,-65.031754,-17.701026,32607,-2048,-2013
1754831880236,01 7F 5F 80 08 23,1,12.438963,-65.031754,-17.701026,32607,-2048,-2013
1754831880248,01 7F 5F 80 08 23,1,12.438963,-65.031754,-17.701026,32607,-2048,-2013
1754831880260,01 7F 5F 80 08 23,1,12.438963,-65.031754,-17.701026,32607,-2048,-2013
1754831880272,01 7F 5F 80 08 23,1,12.438963,-65.031754,-17.701026,32607,-2048,-2013
1754831880286,01 7F 5F 80 08 23,1,12.438963,-65.031754,-17.701026,32607,-2048,-2013
1754831880299,01 7F 5F 80 08 23,1,12.438963,-65.031754,-17.701026,32607,-2048,-2013
1754831880322,01 7F 5F 80 08 23,1,12.438963,-65.031754,-17.701026,32607,-2048,-2013
1754831880325,01 7F 5F 80 07 E8,1,12.438963,-65.031754,17.797753,32607,-2048,2024
1754831880337,01 7F 5F 80 07 E8,1,12.438963,-65.031754,17.797753,32607,-2048,2024
1754831880350,01 7F 5F 80 07 E8,1,12.438963,-65.031754,17.797753,32607,-2048,2024
1754831880362,01 7F 5F 80 07 E8,1,12.438963,-65.031754,17.797753,32607,-2048,2024
1754831880375,01 7F 5F 80 07 E8,1,12.438963,-65.031754,17.797753,32607,-2048,2024
1754831880396,01 7F 5F 80 07 E8,1,12.438963,-65.031754,17.797753,32607,-2048,2024
1754831880409,01 7F 5F 80 07 E8,1,12.438963,-65.031754,17.797753,32607,-2048,2024
1754831880421,01 7F 5F 80 07 E8,1,12.438963,-65.031754,17.797753,32607,-2048,2024
1754831880434,01 7F 5F 80 08 37,1,12.438963,-65.031754,-17.525159,32607,-2048,-1993
1754831880446,01 7F 5F 80 08 37,1,12.438963,-65.031754,-17.525159,32607,-2048,-1993
1754831880458,01 7F 5F 80 08 37,1,12.438963,-65.031754,-17.525159,32607,-2048,-1993
1754831880471,01 7F 5F 80 08 37,1,12.438963,-65.031754,-17.525159,32607,-2048,-1993
1754831880483,01 7F 5F 80 08 37,1,12.438963,-65.031754,-17.525159,32607,-2048,-1993
1754831880496,01 7F 5F 80 08 37,1,12.438963,-65.031754,-17.525159,32607,-2048,-1993
1754831880509,01 7F 5F 80 08 37,1,12.438963,-65.031754,-17.525159,32607,-2048,-1993
1754831880521,01 7F 5F 80 08 37,1,12.438963,-65.031754,-17.525159,32607,-2048,-1993
1754831880533,01 7F 5F 80 07 CC,1,12.438963,-65.031754,17.551539,32607,-2048,1996
1754831880545,01 7F 5F 80 07 CC,1,12.438963,-65.031754,17.551539,32607,-2048,1996
1754831880557,01 7F 5F 80 07 CC,1,12.438963,-65.031754,17.551539,32607,-2048,1996
1754831880569,01 7F 5F 80 07 CC,1,12.438963,-65.031754,17.551539,32607,-2048,1996
1754831880583,01 7F 5F 80 07 CC,1,12.438963,-65.031754,17.551539,32607,-2048,1996
1754831880596,01 7F 5F 80 07 CC,1,12.438963,-65.031754,17.551539,32607,-2048,1996
1754831880608,01 7F 5F 80 07 CC,1,12.438963,-65.031754,17.551539,32607,-2048,1996
1754831880620,01 7F 5F 80 07 CC,1,12.438963,-65.031754,17.551539,32607,-2048,1996
1754831880632,01 7F 5F 80 08 3A,1,12.438963,-65.031754,-17.498779,32607,-2048,-1990
1754831880644,01 7F 5F 80 08 3A,1,12.438963,-65.031754,-17.498779,32607,-2048,-1990
1754831880658,01 7F 5F 80 08 3A,1,12.438963,-65.031754,-17.498779,32607,-2048,-1990
1754831880670,01 7F 5F 80 08 3A,1,12.438963,-65.031754,-17.498779,32607,-2048,-1990
1754831880682,01 7F 5F 80 08 3A,1,12.438963,-65.031754,-17.498779,32607,-2048,-1990
1754831880694,01 7F 5F 80 08 3A,1,12.438963,-65.031754,-17.498779,32607,-2048,-1990
1754831880710,01 7F 5F 80 08 3A,1,12.438963,-65.031754,-17.498779,32607,-2048,-1990
1754831880721,01 7F 5F 80 08 3A,1,12.438963,-65.031754,-17.498779,32607,-2048,-1990
1754831880734,01 7F 5D 80 08 76,1,12.438200,-65.031754,-16.971177,32605,-2048,-1930
1754831880746,01 7F 5D 80 08 76,1,12.438200,-65.031754,-16.971177,32605,-2048,-1930
1754831880759,01 7F 5D 80 08 76,1,12.438200,-65.031754,-16.971177,32605,-2048,-1930
1754831880771,01 7F 5D 80 08 76,1,12.438200,-65.031754,-16.971177,32605,-2048,-1930
1754831880783,01 7F 5D 80 08 76,1,12.438200,-65.031754,-16.971177,32605,-2048,-1930
1754831880796,01 7F 5D 80 08 76,1,12.438200,-65.031754,-16.971177,32605,-2048,-1930
1754831880808,01 7F 5D 80 08 76,1,12.438200,-65.031754,-16.971177,32605,-2048,-1930
1754831880820,01 7F 5D 80 08 76,1,12.438200,-65.031754,-16.971177,32605,-2048,-1930
1754831880832,01 7F 54 7F C7 E9,1,12.434767,64.904739,17.806546,32596,2044,2025
1754831880844,01 7F 54 7F C7 E9,1,12.434767,64.904739,17.806546,32596,2044,2025
1754831880859,01 7F 54 7F C7 E9,1,12.434767,64.904739,17.806546,32596,2044,2025
1754831880871,01 7F 54 7F C7 E9,1,12.434767,64.904739,17.806546,32596,2044,2025
1754831880882,01 7F 54 7F C7 E9,1,12.434767,64.904739,17.806546,32596,2044,2025
1754831880894,01 7F 54 7F C7 E9,1,12.434767,64.904739,17.806546,32596,2044,2025
1754831880912,01 7F 54 7F C7 E9,1,12.434767,64.904739,17.806546,32596,2044,2025
1754831880923,01 7F 54 7F C7 E9,1,12.434767,64.904739,17.806546,32596,2044,2025
1754831880937,01 7F 35 7F 88 07,1,12.422941,64.777723,-17.947240,32565,2040,-2041
1754831880949,01 7F 35 7F 88 07,1,12.422941,64.777723,-17.947240,32565,2040,-2041
1754831880961,01 7F 35 7F 88 07,1,12.422941,64.777723,-17.947240,32565,2040,-2041
1754831880974,01 7F 35 7F 88 07,1,12.422941,64.777723,-17.947240,32565,2040,-2041
1754831880986,01 7F 35 7F 88 07,1,12.422941,64.777723,-17.947240,32565,2040,-2041
1754831880998,01 7F 35 7F 88 07,1,12.422941,64.777723,-17.947240,32565,2040,-2041
1754831881010,01 7F 35 7F 88 07,1,12.422941,64.777723,-17.947240,32565,2040,-2041
1754831881024,01 7F 35 7F 88 07,1,12.422941,64.777723,-17.947240,32565,2040,-2041
1754831881035,01 7F 15 7F 67 F5,1,12.410733,64.714216,17.912066,32533,2038,2037
1754831881047,01 7F 15 7F 67 F5,1,12.410733,64.714216,17.912066,32533,2038,2037
1754831881058,01 7F 15 7F 67 F5,1,12.410733,64.714216,17.912066,32533,2038,2037
1754831881069,01 7F 15 7F 67 F5,1,12.410733,64.714216,17.912066,32533,2038,2037
1754831881082,01 7F 15 7F 67 F5,1,12.410733,64.714216,17.912066,32533,2038,2037
1754831881093,01 7F 15 7F 67 F5,1,12.410733,64.714216,17.912066,32533,2038,2037
1754831881108,01 7F 15 7F 67 F5,1,12.410733,64.714216,17.912066,32533,2038,2037
1754831881120,01 7F 15 7F 67 F5,1,12.410733,64.714216,17.912066,32533,2038,2037
1754831881132,01 7E EF 7F 78 65,1,12.396237,64.745970,-17.120664,32495,2039,-1947
1754831881149,01 7E EF 7F 78 65,1,12.396237,64.745970,-17.120664,32495,2039,-1947
1754831881161,01 7E EF 7F 78 65,1,12.396237,64.745970,-17.120664,32495,2039,-1947
1754831881174,01 7E EF 7F 78 65,1,12.396237,64.745970,-17.120664,32495,2039,-1947
1754831881186,01 7E EF 7F 78 65,1,12.396237,64.745970,-17.120664,32495,2039,-1947
1754831881199,01 7E EF 7F 78 65,1,12.396237,64.745970,-17.120664,32495,2039,-1947
1754831881212,01 7E EF 7F 78 65,1,12.396237,64.745970,-17.120664,32495,2039,-1947
1754831881224,01 7E EF 7F 78 65,1,12.396237,64.745970,-17.120664,32495,2039,-1947
1754831881236,01 7E B4 7E F7 E0,1,12.373730,64.491939,17.727406,32436,2031,2016
1754831881252,01 7E B4 7E F7 E0,1,12.373730,64.491939,17.727406,32436,2031,2016
1754831881266,01 7E B4 7E F7 E0,1,12.373730,64.491939,17.727406,32436,2031,2016
1754831881285,01 7E B4 7E F7 E0,1,12.373730,64.491939,17.727406,32436,2031,2016
1754831881296,01 7E B4 7E F7 E0,1,12.373730,64.491939,17.727406,32436,2031,2016
1754831881307,01 7E B4 7E F7 E0,1,12.373730,64.491939,17.727406,32436,2031,2016
1754831881325,01 7E 72 7F 08 54,1,12.348552,64.523693,-17.270151,32370,2032,-1964
1754831881337,01 7E 72 7F 08 54,1,12.348552,64.523693,-17.270151,32370,2032,-1964
1754831881349,01 7E 72 7F 08 54,1,12.348552,64.523693,-17.270151,32370,2032,-1964
1754831881362,01 7E 72 7F 08 54,1,12.348552,64.523693,-17.270151,32370,2032,-1964
1754831881373,01 7E 72 7F 08 54,1,12.348552,64.523693,-17.270151,32370,2032,-1964
1754831881386,01 7E 72 7F 08 54,1,12.348552,64.523693,-17.270151,32370,2032,-1964
1754831881398,01 7E 72 7F 08 54,1,12.348552,64.523693,-17.270151,32370,2032,-1964
1754831881411,01 7E 72 7F 08 54,1,12.348552,64.523693,-17.270151,32370,2032,-1964
1754831881422,01 7E 72 7F 08 54,1,12.348552,64.523693,-17.270151,32370,2032,-1964
1754831881435,01 7E 41 7F 28 06,1,12.329859,64.587201,-17.956033,32321,2034,-2042
1754831881447,01 7E 41 7F 28 06,1,12.329859,64.587201,-17.956033,32321,2034,-2042
1754831881458,01 7E 41 7F 28 06,1,12.329859,64.587201,-17.956033,32321,2034,-2042
1754831881470,01 7E 41 7F 28 06,1,12.329859,64.587201,-17.956033,32321,2034,-2042
1754831881482,01 7E 41 7F 28 06,1,12.329859,64.587201,-17.956033,32321,2034,-2042
1754831881494,01 7E 41 7F 28 06,1,12.329859,64.587201,-17.956033,32321,2034,-2042
1754831881513,01 7E 41 7F 28 06,1,12.329859,64.587201,-17.956033,32321,2034,-2042
1754831881526,01 7E 15 7F 68 4A,1,12.313074,64.714216,-17.358085,32277,2038,-1974
1754831881544,01 7E 15 7F 68 4A,1,12.313074,64.714216,-17.358085,32277,2038,-1974
1754831881556,01 7E 15 7F 68 4A,1,12.313074,64.714216,-17.358085,32277,2038,-1974
1754831881572,01 7E 15 7F 68 4A,1,12.313074,64.714216,-17.358085,32277,2038,-1974
1754831881583,01 7E 15 7F 68 4A,1,12.313074,64.714216,-17.358085,32277,2038,-1974
1754831881597,01 7E 15 7F 68 4A,1,12.313074,64.714216,-17.358085,32277,2038,-1974
